133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.29,132.027,2019-01-01,January,Cash,125.74,4.76,6.29,5
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.41,113.568,2019-01-01,January,Ewallet,108.16,4.76,5.41,6.9
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.77,184.086,2019-01-01,January,Ewallet,175.32,4.76,8.77,5
416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,2019-01-01,January,Credit card,742.2,4.76,37.11,4.3
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,2019-01-01,January,Credit card,369.8,4.76,18.49,7
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.04,399.756,2019-01-01,January,Cash,380.72,4.76,19.04,5.7
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.32,132.762,2019-01-01,January,Cash,126.44,4.76,6.32,8.5
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.58,621.243,2019-01-01,January,Cash,591.66,4.76,29.58,7.7
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.31,888.615,2019-01-01,January,Credit card,846.3,4.76,42.31,9
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457.443,2019-01-01,January,Credit card,435.66,4.76,21.78,6.9
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.45,177.408,2019-01-01,January,Cash,168.96,4.76,8.45,6.3
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.41,470.673,2019-01-01,January,Cash,448.26,4.76,22.41,6.7
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.6,138.663,2019-01-02,January,Cash,132.06,4.76,6.6,7.6
712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,6,12.5,262.458,2019-01-02,January,Ewallet,249.96,4.76,12.5,5.6
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.39,281.169,2019-01-02,January,Credit card,267.78,4.76,13.39,5.1
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.593,2019-01-02,January,Cash,42.47,4.76,2.12,5.7
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.98,209.622,2019-01-02,January,Credit card,199.64,4.76,9.98,6.7
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.67,266.028,2019-01-02,January,Credit card,253.36,4.76,12.67,5.6
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.1,359.205,2019-01-02,January,Cash,342.1,4.76,17.1,5.1
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.27,383.764,2019-01-02,January,Cash,365.49,4.76,18.27,7
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5,367.552,2019-01-03,January,Ewallet,350.05,4.76,17.5,5.5
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.79,79.674,2019-01-03,January,Credit card,75.88,4.76,3.79,7.1
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.77,352.223,2019-01-03,January,Credit card,335.45,4.76,16.77,9.1
501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15,6,18.94,397.845,2019-01-03,January,Ewallet,378.9,4.76,18.94,9.8
552-44-5977,B,Mandalay,Member,Male,Health and beauty,62,8,24.8,520.8,2019-01-03,January,Credit card,496,4.76,24.8,6.2
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.11,44.352,2019-01-03,January,Cash,42.24,4.76,2.11,9.7
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.36,217.633,2019-01-03,January,Ewallet,207.27,4.76,10.36,7.9
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38,1,4.67,98.049,2019-01-03,January,Cash,93.38,4.76,4.67,9.6
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2019-01-04,January,Ewallet,355.4,4.76,17.77,7
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.99,629.843,2019-01-04,January,Credit card,599.85,4.76,29.99,9.7
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.74,288.582,2019-01-04,January,Cash,274.84,4.76,13.74,4.1
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.96,146.223,2019-01-04,January,Credit card,139.26,4.76,6.96,4.4
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.61,75.779,2019-01-04,January,Cash,72.17,4.76,3.61,6.1
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.24,110.092,2019-01-04,January,Cash,104.85,4.76,5.24,7.8
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.15,297.108,2019-01-05,January,Credit card,282.96,4.76,14.15,4.4
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.73,225.277,2019-01-05,January,Ewallet,214.55,4.76,10.73,6.1
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,January,Cash,250.6,4.76,12.53,4.2
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.86,690.018,2019-01-05,January,Credit card,657.16,4.76,32.86,7.3
433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89,7,27.61,579.841,2019-01-05,January,Ewallet,552.23,4.76,27.61,7.5
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.7,77.658,2019-01-05,January,Credit card,73.96,4.76,3.7,5
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.21,172.494,2019-01-05,January,Credit card,164.28,4.76,8.21,7.9
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.6,33.495,2019-01-05,January,Ewallet,31.9,4.76,1.6,9.1
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.971,2019-01-05,January,Ewallet,522.83,4.76,26.14,9.1
